n/t = ,func,input,result
larger than 5,Our Formula,"(179,1)",180
1,Our Formula,"(179,179)",11711984871065564527050020513935279823927980540992788456195355018058414995197119939701136125540190139539411282635719538983429235221458315558161272032736274401032123343
larger than 5,Our Formula,"(180,1)",360
larger than 5,Our Formula,"(180,3)",93192
larger than 5,Our Formula,"(180,5)",16488888
larger than 5,Our Formula,"(180,9)",226424282112
larger than 5,Our Formula,"(180,15)",131843681656491160
4,Our Formula,"(180,45)",409613349780693923828822711970683404504871720
larger than 5,Our Formula,"(181,1)",182
1,Our Formula,"(181,181)",2245934791978249055295744244461403745951145939835362301302823642706894569030926431305164740811970302588350772935007517846889471787555909576755989414255951167307185707047
larger than 5,Our Formula,"(182,1)",224
larger than 5,Our Formula,"(182,7)",2259834944
larger than 5,Our Formula,"(182,13)",1888929416634272
2,Our Formula,"(182,91)",422253185855726481656485847371963611290334847017427569784931966954521727113758777540608
larger than 5,Our Formula,"(183,1)",248
larger than 5,Our Formula,"(183,3)",79360
3,Our Formula,"(183,61)",254986876658779552822503101776679373629866235070794971544798
1,Our Formula,"(183,183)",435349618709931052722310755786775975584391783776182656621788796189763173440599481517685101607157175382692343422534148788313531021945932856444702959168600722328323705719509
larger than 5,Our Formula,"(184,1)",384
larger than 5,Our Formula,"(184,23)",5016942006328957040624328
larger than 5,Our Formula,"(185,1)",228
larger than 5,Our Formula,"(185,5)",17773208
5,Our Formula,"(185,37)",41887131873942530453346709426124381765
1,Our Formula,"(185,185)",85290934408254092022037902454741427423393502163860634706588894781378713400251747725585655275800623751380385652077285285397004348937584801513559447417494941858413110773050177
larger than 5,Our Formula,"(186,1)",256
larger than 5,Our Formula,"(186,3)",83328
larger than 5,Our Formula,"(186,31)",146041758475868207596958596008002
2,Our Formula,"(186,93)",88057004296455559111582413158215162125754352710263265603596477559650900218196701350985728
larger than 5,Our Formula,"(187,1)",216
larger than 5,Our Formula,"(187,11)",28933802356248
larger than 5,Our Formula,"(187,17)",16100204902020932494
1,Our Formula,"(187,187)",16886577642534219771788023491981528009193922331559369054976695328607758772542820056485218838840752234569048395687998820307686061663620919081114968030890402292709442276858361530
larger than 5,Our Formula,"(188,1)",288
4,Our Formula,"(188,47)",96646155876447997107831220604471408373801513570
larger than 5,Our Formula,"(189,1)",224
larger than 5,Our Formula,"(189,3)",88672
larger than 5,Our Formula,"(189,7)",2880109088
larger than 5,Our Formula,"(189,9)",328721637568
larger than 5,Our Formula,"(189,21)",106186054083804491764332
larger than 5,Our Formula,"(189,27)",40616847208155184754809440491
3,Our Formula,"(189,63)",57148735175768305346392049323848446360802866685472359585616179
1,Our Formula,"(189,189)",3378359948640770690589234811203842456478906129168018886825690716575566635364789362904407854144102815081239178577341574729406079397413764428120692663444041344181196822374392104797
larger than 5,Our Formula,"(190,1)",240
larger than 5,Our Formula,"(190,5)",20191152
larger than 5,Our Formula,"(190,19)",1531317616467782790874
2,Our Formula,"(190,95)",18742077505889451353527621938059314984600447280498002581064831432964545599508280469492858880
larger than 5,Our Formula,"(191,1)",192
1,Our Formula,"(191,191)",682885950527768650804576064587040481513584645675761456036710360429391524962444302440581993290729830876933460796400609535225986069344145415254978923028610356343678590005152420315492
larger than 5,Our Formula,"(192,1)",400
larger than 5,Our Formula,"(192,3)",104576
larger than 5,Our Formula,"(193,1)",194
1,Our Formula,"(193,193)",139451078529387872671248445101959767159143985602701701471994686493989338839144188824006982690931753644063385097719439958282568765379356940716544328549091439642473740515877909971628472
larger than 5,Our Formula,"(194,1)",196
2,Our Formula,"(194,97)",4069589032456831597032748206263563445996865349824002755808039893971498409717754329869672513536
larger than 5,Our Formula,"(195,1)",336
larger than 5,Our Formula,"(195,3)",97664
larger than 5,Our Formula,"(195,5)",23175040
larger than 5,Our Formula,"(195,13)",3957708615982896
larger than 5,Our Formula,"(195,15)",340539086886323808
5,Our Formula,"(195,39)",10809641805018513097283048428033018015129
3,Our Formula,"(195,65)",13189947209632478420827270606899151629255626802252911085559386966
1,Our Formula,"(195,195)",28766130277374849061483471515480872780280224514288655859330997428105204839399251319266041365740104701219004499255669755185445793825683101723427488162718165120283265545788039431294408137
larger than 5,Our Formula,"(196,1)",300
larger than 5,Our Formula,"(196,7)",3740636556
4,Our Formula,"(196,49)",23694799187997529142025087479867979837112633759616
larger than 5,Our Formula,"(197,1)",198
1,Our Formula,"(197,197)",5993523747992649665898363714322408026285669669247256805055027747351048047649388230103817571178788828272349545355597102366774001390458035465701439575796662221956152334579647571562441074973
larger than 5,Our Formula,"(198,1)",240
larger than 5,Our Formula,"(198,3)",105712
larger than 5,Our Formula,"(198,9)",474883357888
larger than 5,Our Formula,"(198,11)",49491233598640
larger than 5,Our Formula,"(198,33)",40371013645207081672492289207018682
2,Our Formula,"(198,99)",901127150133282988680883835111122626379306045255342183324522149684351593348128206896102174097408
larger than 5,Our Formula,"(199,1)",200
1,Our Formula,"(199,199)",1261189946159563073285850318371925019122458736860257029608810231374616554126394718394151340190565333126376742879950672761259991783666556552696918980798643741134225487067710635657914827636585
larger than 5,Our Formula,"(200,1)",416
larger than 5,Our Formula,"(200,5)",27594848
larger than 5,Our Formula,"(200,25)",1558136941954097380386427072
larger than 5,Our Formula,"(201,1)",272
larger than 5,Our Formula,"(201,3)",104720
3,Our Formula,"(201,67)",3132153967454109690368685423248298903342443353409920695565239993683
1,Our Formula,"(201,201)",267999132531219707738136853554549989896314833002809244112940639313339655957338402535507186688543792539140803300585040795874008375028851242879546355963943217288540856238183630236953417860473002
larger than 5,Our Formula,"(202,1)",204
2,Our Formula,"(202,101)",203401931062977005456994794051363251421642493573571664659474068306099134919460285868161983720718336
larger than 5,Our Formula,"(203,1)",240
larger than 5,Our Formula,"(203,7)",4567392960
larger than 5,Our Formula,"(203,29)",12118300239622860023058064317435
1,Our Formula,"(203,203)",57504109491516710464159226934215573262853313188236795529328853085324578924302206588317199901723524817841323617311260073226887813044623760309470137870042033576951073748170070725476080363647119668
larger than 5,Our Formula,"(204,1)",432
larger than 5,Our Formula,"(204,3)",125136
larger than 5,Our Formula,"(204,17)",51247228053276420444
4,Our Formula,"(204,51)",6027200293009929046189516231400414656626104071626270
larger than 5,Our Formula,"(205,1)",252
larger than 5,Our Formula,"(205,5)",29034600
5,Our Formula,"(205,41)",2918062136467650723716299435725184998833823
1,Our Formula,"(205,205)",12457640518935443163950649229255376051832748181686823319125516933396276143389745044305545271598274737188690940417138985355003538550427986413401921999271201263934464183071267321342799295353293953882
larger than 5,Our Formula,"(206,1)",208
2,Our Formula,"(206,103)",46783745782959216810896885391345274053379479608151395668525919817476848522350532658625195342190084096
larger than 5,Our Formula,"(207,1)",240
larger than 5,Our Formula,"(207,3)",120112
larger than 5,Our Formula,"(207,9)",677806300768
larger than 5,Our Formula,"(207,23)",35839665465201581184752475
3,Our Formula,"(207,69)",764619792769916523628996811909035330496422544908041235722579500226664
1,Our Formula,"(207,207)",2724606187755729769662274758951302229289018039550844497118593753193978468886479017927452701355088785553014922607131847507093448041854040673035602771795827316684050234633446491551660284877400699259392
larger than 5,Our Formula,"(208,1)",392
larger than 5,Our Formula,"(208,13)",7980962335072856
larger than 5,Our Formula,"(209,1)",240
larger than 5,Our Formula,"(209,11)",82441748210480
larger than 5,Our Formula,"(209,19)",6078180915457531688891
1,Our Formula,"(209,209)",601538053125790139925096503810346988592230807724628337167399544285072111845707644580981352315958187465104514423126483613080307083233785379702459671859790849837319178879213082491149603478357929396967890
larger than 5,Our Formula,"(210,1)",384
larger than 5,Our Formula,"(210,3)",122176
larger than 5,Our Formula,"(210,5)",33058688
larger than 5,Our Formula,"(210,7)",5722920960
larger than 5,Our Formula,"(210,15)",832494016834092224
larger than 5,Our Formula,"(210,21)",551073999480904342962610
larger than 5,Our Formula,"(210,35)",11754326218756347395246650568722327606
2,Our Formula,"(210,105)",10960984315137913787466920487155638944803924800933094832548460094257820901774605594192077448352324648960
larger than 5,Our Formula,"(211,1)",212
1,Our Formula,"(211,211)",134052538877723339593802083776369352720545146304482327794065712428462227146003732826456062929710705890263735547505286217633922579133841873482342040116089536561046375113776357299277375021540517646032568779
larger than 5,Our Formula,"(212,1)",324
4,Our Formula,"(212,53)",1588402682866034489175167806952945822863671484833422278
larger than 5,Our Formula,"(213,1)",288
larger than 5,Our Formula,"(213,3)",124320
3,Our Formula,"(213,71)",191738776584428449408658083753248062435097860412373439936717637592300772
1,Our Formula,"(213,213)",30150980052346733780634871024403924228493491252568371433142254348492762335531600565780704796833005698646091179416131589184991310973558741054656360424168123628389074739617945139759136893572867394934091123128
larger than 5,Our Formula,"(214,1)",216
2,Our Formula,"(214,107)",2614980231670598680437876568103131044501793040575289222153512707661581163552479572060975117267534216167424
larger than 5,Our Formula,"(215,1)",264
larger than 5,Our Formula,"(215,5)",36483392
5,Our Formula,"(215,43)",822258967198023408108456038601698945254066469
1,Our Formula,"(215,215)",6843919141760257779810863765650076031667213358950227062020642041274918056812616294218405686545647287687116350582168359707974284477585217905728468492595798545212943931439138018852597465396706152404051882487447
larger than 5,Our Formula,"(216,1)",448
larger than 5,Our Formula,"(216,3)",155424
larger than 5,Our Formula,"(216,9)",972278892384
larger than 5,Our Formula,"(216,27)",516621350621414650639862699008
larger than 5,Our Formula,"(217,1)",256
larger than 5,Our Formula,"(217,7)",7036635904
larger than 5,Our Formula,"(217,31)",3829900629327845733329098476993422
1,Our Formula,"(217,217)",1567648321411465196966903051929132125302756462750618561013926871020149646770969499206050255949548948650836181107304243071057134465494487581031286680683622220737995030556802294174813117394757487863559440500418909
larger than 5,Our Formula,"(218,1)",220
2,Our Formula,"(218,109)",635048336471153132401919607699511136839533937386863659745904498097862167171428233047627296751414859903533056
larger than 5,Our Formula,"(219,1)",296
larger than 5,Our Formula,"(219,3)",134976
3,Our Formula,"(219,73)",49353163856449365266631436447837293520116408863268987232350568722433724619
1,Our Formula,"(219,219)",362323674487102200789789589567315467488850938656611640852735301654824130483996763733679998238266198446296396988660474291756528443365065786361801249149993516479136938391351918601343098514061758515500326395013666650
larger than 5,Our Formula,"(220,1)",432
larger than 5,Our Formula,"(220,5)",42871824
larger than 5,Our Formula,"(220,11)",135400224046320
4,Our Formula,"(220,55)",433134072835486757785429317905447297833224517000187642414
larger than 5,Our Formula,"(221,1)",252
larger than 5,Our Formula,"(221,13)",15286448605666500
larger than 5,Our Formula,"(221,17)",148540025075139343398
1,Our Formula,"(221,221)",84491632202162394928034048701262216567236816999992815135572102686455005552905224100884573014560059851387914782402602323066525493009282579113406679130384755673279830378873832289349201361196819374450720911915421370591
larger than 5,Our Formula,"(222,1)",304
larger than 5,Our Formula,"(222,3)",140600
larger than 5,Our Formula,"(222,37)",3594362966057713887347171067044353788070
2,Our Formula,"(222,111)",156936941581751024120585665530247379238839525746635867737985967496687359018364200930987945339111738307241836544
larger than 5,Our Formula,"(223,1)",224
1,Our Formula,"(223,223)",19877641898989712801845135965073233592339396096442093833593627123445375856710206223143285581717420548662070235099856140145421788316578359483950565295989731638489760192405836374481436262657544924291052678679841708965383
larger than 5,Our Formula,"(224,1)",416
larger than 5,Our Formula,"(224,7)",8860812704
larger than 5,Our Formula,"(225,1)",260
larger than 5,Our Formula,"(225,3)",153556
larger than 5,Our Formula,"(225,5)",45560708
larger than 5,Our Formula,"(225,9)",1325802351848
larger than 5,Our Formula,"(225,15)",1926888291093499828
larger than 5,Our Formula,"(225,25)",12962290926871267342478652911
5,Our Formula,"(225,45)",241388707182421159250671480583258269459584316557
3,Our Formula,"(225,75)",13030371859186154224396548972559841953793561440252443271481993506922268796508
1,Our Formula,"(225,225)",4717545288430277865739300081965985616435270091244431058945745788839799263234814668005615496436008287320710952962466089221898358500244321442863491777449039557743351450159274559968384764321709266715154619390479355585241783
larger than 5,Our Formula,"(226,1)",228
2,Our Formula,"(226,113)",39453825751363644957417452151644113027732748674047948714438715654397727310448031521742756251350977853027227009024
larger than 5,Our Formula,"(227,1)",228
1,Our Formula,"(227,227)",1129363713666229524422846816448810633020394274871484127215034446612178117477999492469448725830758647876524245251201431471857523896831239333263756408161844579818652297520197566876170107021535126280887616712422158371519206349
larger than 5,Our Formula,"(228,1)",480
larger than 5,Our Formula,"(228,3)",173600
larger than 5,Our Formula,"(228,19)",21755782628099343322812
4,Our Formula,"(228,57)",122060797132352595025811724259198497717691825186213157956554
larger than 5,Our Formula,"(229,1)",230
1,Our Formula,"(229,229)",272700032060840499795088173196990735296061213962767654052084781029942096676751124356184549733134524271293095646263606533945889371355002289063964412668656631972162742348898249825452837147263962085224486857919418883933181194809
larger than 5,Our Formula,"(230,1)",288
larger than 5,Our Formula,"(230,5)",50452896
larger than 5,Our Formula,"(230,23)",213538513053767827617681586
2,Our Formula,"(230,115)",10087158189875108336246325507812081881958592051207923749063919056547950536069872431172836528007174234822975162417152
larger than 5,Our Formula,"(231,1)",384
larger than 5,Our Formula,"(231,3)",160000
larger than 5,Our Formula,"(231,7)",10616610048
larger than 5,Our Formula,"(231,11)",213766952495488
larger than 5,Our Formula,"(231,21)",2485254926124714859641311
larger than 5,Our Formula,"(231,33)",1277618528804814539687333440400431259
3,Our Formula,"(231,77)",3526530152315165102665521106388700827300180323423085697355909648135563811746888
1,Our Formula,"(231,231)",66410660613923340924967001040920009085054247994731519082856766952947605412297858797569839655524039657142445265743786082874561695484428083068676571669019253179627313226837396352170068903137990997799519651914334049342002412488975
larger than 5,Our Formula,"(232,1)",480
larger than 5,Our Formula,"(232,29)",182013333505080260019519501233752
larger than 5,Our Formula,"(233,1)",234
1,Our Formula,"(233,233)",16310221794703377167255429769884566307116634299213779489049718288475700432650184924695858010894152128317643688171797434024253444808305739132146236233822728208333776087899211438254229577399966914219844425306101658572721402742553775
larger than 5,Our Formula,"(234,1)",280
larger than 5,Our Formula,"(234,3)",172760
larger than 5,Our Formula,"(234,9)",1820534317728
larger than 5,Our Formula,"(234,13)",28515039231416200
larger than 5,Our Formula,"(234,39)",1151426733294687498152660328363608224522870
2,Our Formula,"(234,117)",2622038316786636575052524962037460776053280328473618263526972001840420913618897478473353237634614582348530058004529152
larger than 5,Our Formula,"(235,1)",288
larger than 5,Our Formula,"(235,5)",55946496
5,Our Formula,"(235,47)",73698153152497583404787357070645092981515037696059
1,Our Formula,"(235,235)",4039430453522781348877386193209394960469668999532745123465134310673754790830853696259412410792133118428483587307056846820874190080201536217553770181583035601014742016208705914766079745793843522340708400743703932750899204162708039192
larger than 5,Our Formula,"(236,1)",360
4,Our Formula,"(236,59)",35508652365020908731863450322489843571779700517145004550540826
larger than 5,Our Formula,"(237,1)",320
larger than 5,Our Formula,"(237,3)",170560
3,Our Formula,"(237,79)",977719826470637648498464624352018295039077136720509437676494172250439378578308369
1,Our Formula,"(237,237)",1008760069292847204825967279631131176455680042377661540558680045636438227556763137972753656258976990483784685054702451354302310878067832144677671416101490457723666022602076234126039447807916674444720187168666394792284838092481983184703
larger than 5,Our Formula,"(238,1)",288
larger than 5,Our Formula,"(238,7)",12840646464
larger than 5,Our Formula,"(238,17)",403305489727606241518
2,Our Formula,"(238,119)",692753461630085739038658291106547346950465935094848855742086106130031795721417768732547340559801257977721764492378898432
larger than 5,Our Formula,"(239,1)",240
1,Our Formula,"(239,239)",253999524131180612471312056356477581662830387385618750080245374470444918278773767598273150238102992933169172830919221324997118336198985113172576731168758375903388773478479580891190724620831227302793544171998621265405573523771786192477502
larger than 5,Our Formula,"(240,1)",672
larger than 5,Our Formula,"(240,3)",207424
larger than 5,Our Formula,"(240,5)",65976032
larger than 5,Our Formula,"(240,15)",4261582907288583984
larger than 5,Our Formula,"(241,1)",242
1,Our Formula,"(241,241)",64480068947509591960172898191891587811759217941992270963604124164402329974682768768285719708874117455314493285292155740943070516978006120228353952555477495675198238169579020891556500848560388218148476911714859911908875700207431226546646037
larger than 5,Our Formula,"(242,1)",244
larger than 5,Our Formula,"(242,11)",333194159437732
2,Our Formula,"(242,121)",185981976987088081558816719730296164571095891052186946476851018174963098877761384601595656085561107066396654775889163190272
larger than 5,Our Formula,"(243,1)",244
larger than 5,Our Formula,"(243,3)",183708
larger than 5,Our Formula,"(243,9)",2472145147584
larger than 5,Our Formula,"(243,27)",4997373378029917839743186849631
3,Our Formula,"(243,81)",277522387867195499722196313990705904981715606859909552385306076425058672481755899811
1,Our Formula,"(243,243)",16501994652714647892635085022193703536557912850758077211265013835721884320113364225842602640556399239272849066884249076553610566389611519625959497522792249474571529758342354872719785138446542345154806295059701942163210037826485169353888548790
larger than 5,Our Formula,"(244,1)",372
4,Our Formula,"(244,61)",10652247072314068940413028181324794886368892039523594942202434008
larger than 5,Our Formula,"(245,1)",300
larger than 5,Our Formula,"(245,5)",68384840
larger than 5,Our Formula,"(245,7)",15535662732
larger than 5,Our Formula,"(245,35)",448462451294659181575127754042849522242
5,Our Formula,"(245,49)",23363015713396019389852765067461273287588985557208806
1,Our Formula,"(245,245)",4257327080312027810228393021483688821120224826455875921804401072265392901334909038329268962401997597508178780685846870490720935721254751502978756780436769032239193251540051880051914944863312033083530894474444865712529860502292490567778662050055
larger than 5,Our Formula,"(246,1)",336
larger than 5,Our Formula,"(246,3)",190568
larger than 5,Our Formula,"(246,41)",385520593727268555683660650203546999922411470
2,Our Formula,"(246,123)",50722699271860829741071676153890891731654379437253264433165022278673122938259731244928460634522194926487058792474117629018112
larger than 5,Our Formula,"(247,1)",280
larger than 5,Our Formula,"(247,13)",51592398883881621
larger than 5,Our Formula,"(247,19)",70573596317187307538581
1,Our Formula,"(247,247)",1107130853677596694964075620745788515030594916457910341680872620693642439630615350412121597111556055161554339000713050868363185787795324971137777321638354666294224251258629899729867885656152118280726148583855539370098269968873784159198348920749987
larger than 5,Our Formula,"(248,1)",512
larger than 5,Our Formula,"(248,31)",67865642411826686690559756784115972
larger than 5,Our Formula,"(249,1)",336
larger than 5,Our Formula,"(249,3)",197456
3,Our Formula,"(249,83)",80603119212715955496641904882901309808906898885092096910438227842642627289043922741575
1,Our Formula,"(249,249)",290198018765218743940329931454393904921594534563098570642907428949988362000673423228391818793387386443155177394336595476157445849286082687016354380339011065516828322163969229383109664646699237740091310031553516914451100295355717451833366257183801832
